student_id,name,gender,ethnicity,parent_education,lunch,test_prep,attendance_pct,study_hours_per_day,assignment_completion_pct,sleep_hours,social_media_hours,stress_level,extracurricular_hours,math,reading,writing,science,history,source,gender_encoded,ethnicity_encoded,parent_education_encoded,lunch_encoded,test_prep_encoded,final_score,pass_fail
1,Student_0001,female,group B,bachelor's degree,standard,none,89.3,5.8,76.6,6.1,1.0,3,2.2,72,72,74,76,72,kaggle,0,1,4,1,0,73.2,1
2,Student_0002,female,group C,some college,standard,completed,89.0,5.9,85.2,7.0,1.5,2,3.3,69,90,88,60,80,kaggle,0,2,2,1,1,77.4,1
3,Student_0003,female,group B,master's degree,standard,none,96.0,5.7,85.8,7.6,1.2,1,3.3,90,95,93,90,87,kaggle,0,1,5,1,0,91.0,1
4,Student_0004,male,group A,associate's degree,free/reduced,none,87.4,2.9,67.5,8.8,3.0,4,2.2,47,57,44,54,61,kaggle,1,0,3,0,0,52.6,1
5,Student_0005,male,group C,some college,standard,none,86.7,5.4,69.9,8.1,0.3,4,3.7,76,78,75,79,85,kaggle,1,2,2,1,0,78.6,1
6,Student_0006,female,group B,associate's degree,standard,none,87.0,5.2,85.2,6.6,2.3,1,5.3,71,83,78,79,83,kaggle,0,1,3,1,0,78.8,1
7,Student_0007,female,group B,some college,standard,completed,100.0,6.3,90.8,8.3,0.0,4,4.2,88,95,92,96,89,kaggle,0,1,2,1,1,92.0,1
8,Student_0008,male,group B,some college,free/reduced,none,81.0,3.5,59.6,5.9,2.2,5,0.2,40,43,39,59,60,kaggle,1,1,2,0,0,48.2,1
9,Student_0009,male,group D,high school,free/reduced,completed,82.2,5.1,82.1,8.3,1.6,2,5.3,64,64,67,75,64,kaggle,1,3,1,0,1,66.8,1
10,Student_0010,female,group B,high school,free/reduced,none,82.5,3.0,76.2,6.9,3.2,4,1.7,38,60,50,64,67,kaggle,0,1,1,0,0,55.8,1
11,Student_0011,male,group C,associate's degree,standard,none,79.1,4.8,61.1,7.2,2.4,6,3.1,58,54,52,61,55,kaggle,1,2,3,1,0,56.0,1
12,Student_0012,male,group D,associate's degree,standard,none,76.2,3.4,62.2,8.2,1.2,5,3.5,40,52,43,51,57,kaggle,1,3,3,1,0,48.6,1
13,Student_0013,female,group B,high school,standard,none,88.1,6.3,76.1,6.6,0.8,3,4.2,65,81,73,77,75,kaggle,0,1,1,1,0,74.2,1
14,Student_0014,male,group A,some college,standard,completed,77.4,4.1,75.1,6.5,2.0,3,5.6,78,72,70,78,70,kaggle,1,0,2,1,1,73.6,1
15,Student_0015,female,group A,master's degree,standard,none,72.5,5.1,77.6,6.8,2.3,4,3.9,50,53,58,53,56,kaggle,0,0,5,1,0,54.0,1
16,Student_0016,female,group C,some high school,standard,none,84.4,4.9,80.6,8.4,1.2,3,2.7,69,75,78,73,86,kaggle,0,2,0,1,0,76.2,1
17,Student_0017,male,group C,high school,standard,none,86.2,4.9,87.0,6.6,0.9,1,7.8,88,89,86,81,77,kaggle,1,2,1,1,0,84.2,1
18,Student_0018,female,group B,some high school,free/reduced,none,74.4,1.9,44.0,4.6,3.9,8,2.3,18,32,28,29,34,kaggle,0,1,0,0,0,28.2,0
19,Student_0019,male,group C,master's degree,free/reduced,completed,73.9,3.0,71.8,6.8,2.1,4,2.6,46,42,46,61,67,kaggle,1,2,5,0,1,52.4,1
20,Student_0020,female,group C,associate's degree,free/reduced,none,75.2,4.2,65.2,7.8,2.2,4,4.8,54,58,61,59,70,kaggle,0,2,3,0,0,60.4,1
21,Student_0021,male,group D,high school,standard,none,92.1,4.7,78.4,8.5,4.2,3,4.0,66,69,63,83,48,kaggle,1,3,1,1,0,65.8,1
22,Student_0022,female,group B,some college,free/reduced,completed,84.9,4.0,81.9,7.2,0.5,2,4.4,65,75,70,55,67,kaggle,0,1,2,0,1,66.4,1
23,Student_0023,male,group D,some college,standard,none,80.4,3.5,79.7,6.9,0.6,4,6.8,44,54,53,49,43,kaggle,1,3,2,1,0,48.6,1
24,Student_0024,female,group C,some high school,standard,none,79.4,6.3,71.7,8.5,2.6,1,3.5,69,73,73,69,65,kaggle,0,2,0,1,0,69.8,1
25,Student_0025,male,group D,bachelor's degree,free/reduced,completed,84.8,6.1,61.4,6.1,1.1,7,3.5,74,71,80,79,49,kaggle,1,3,4,0,1,70.6,1
26,Student_0026,male,group A,master's degree,free/reduced,none,87.5,5.0,82.8,7.3,1.5,1,4.1,73,74,72,74,71,kaggle,1,0,5,0,0,72.8,1
27,Student_0027,male,group B,some college,standard,none,77.0,4.0,87.3,7.5,1.4,2,5.0,69,54,55,66,49,kaggle,1,1,2,1,0,58.6,1
28,Student_0028,female,group C,bachelor's degree,standard,none,88.0,4.6,88.8,7.9,1.6,3,1.6,67,69,75,58,72,kaggle,0,2,4,1,0,68.2,1
29,Student_0029,male,group C,high school,standard,none,82.5,4.9,80.6,7.1,3.5,5,0.8,70,70,65,59,55,kaggle,1,2,1,1,0,63.8,1
30,Student_0030,female,group D,master's degree,standard,none,84.2,3.6,76.1,7.6,2.7,3,2.9,62,70,75,68,72,kaggle,0,3,5,1,0,69.4,1
31,Student_0031,female,group D,some college,standard,none,83.7,4.4,86.8,5.6,2.7,1,1.4,69,74,74,58,70,kaggle,0,3,2,1,0,69.0,1
32,Student_0032,female,group B,some college,standard,none,93.2,2.8,69.7,6.9,0.7,5,2.9,63,65,61,60,77,kaggle,0,1,2,1,0,65.2,1
